Company_Id,Job ID,Job Position Name,Posted Date,Location,url
C0000258,R0006239,"Sales and Service Specialist - Independence, KS",3/25/2019,"Independence, KS",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Mobile-AL/Customer-Service-Representative-2368-Mobile--AL_R0006254-1
C0000258,R0006235,"Sales and Service Specialist - Junction City, KS",3/25/2019,"Junction City, KS",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Oklahoma City-OK/Customer-Service-Representative-Part-Time-OKC-metro_R0005948-1
C0000258,R0006227,"Sales and Service Specialist - Kansas City, KS",3/25/2019,"Kansas City, KS",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Ocala-FL/Customer-Service-Representative_R0005896-1
C0000258,R0006233,"Sales and Service Specialist - Liberal, KS",3/25/2019,"Liberal, KS",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Sebastian-FL/Customer-Service-Representative_R0006118-1
C0000258,R0006231,"Sales and Service Specialist - Manhattan, KS",3/25/2019,"Manhattan, KS",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Richmond-VA/Customer-Service-Support-Rep-I_R0005878-1
C0000258,R0006188,"Sales and Service Specialist - Newton, KS",3/25/2019,,https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Charlottesville-VA/Customer-Service-Support-Rep-I_R0005879-1
C0000258,R0006194,"Sales and Service Specialist - Pittsburg, KS",3/25/2019,"Pittsburg, KS",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Lynchburg-VA/Customer-Service-Support-Rep-I_R0005887-1
C0000258,R0006192,"Sales and Service Specialist Wichita, KS",3/25/2019,"Wichita, KS",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/R0006013  /Monroe---Sales-and-Service-Specialist_Posted30DaysAgo-1
C0000258,R0006229,Sales and Service Specialist,3/25/2019,"Shawnee Mission, KS",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/R0006012  /Oregon---Sales-and-Service-Specialist_Posted30DaysAgo-1
C0000258,R0006015,Southgate - Sales and Service Specialist,3/25/2019,,https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/R0006016  /Riverview---Sales-and-Service-Specialist_Posted30DaysAgo-1
